id,groupId,artifactId,version,openSource,licenseNames,licenseUrls,name,developers,description,url,pomUrl,,,,,,,,
75A47ADCD781754D9EC3DA48943E7C50,junit,junit,3.7,TRUE,Common Public License Version 1.0,http://www.opensource.org/licenses/cpl1.0.txt,JUnit,-,JUnit is a regression testing framework written by Erich Gamma and Kent Beck. It is used by the developer who implements unit tests in Java.,http://junit.org,http://junit.org,,,,,,,,
115952575FCB60469655624F6D1B63E5,junit,junit,3.8,TRUE,Common Public License Version 1.0,http://www.opensource.org/licenses/cpl1.0.txt,JUnit,-,JUnit is a regression testing framework written by Erich Gamma and Kent Beck. It is used by the developer who implements unit tests in Java.,http://junit.org,http://junit.org,,,,,,,,
EE757D5A17B79A40A6A28F3A3ABBA6A7,junit,junit,3.8.1,TRUE,Common Public License Version 1.0,http://www.opensource.org/licenses/cpl1.0.txt,JUnit,-,JUnit is a regression testing framework written by Erich Gamma and Kent Beck. It is used by the developer who implements unit tests in Java.,http://junit.org,http://junit.org,,,,,,,,
D0E4A36872B9F14A91B3A39CF488F868,junit,junit,3.8.2,TRUE,Common Public License Version 1.0,http://www.opensource.org/licenses/cpl1.0.txt,JUnit,-,JUnit is a regression testing framework written by Erich Gamma and Kent Beck. It is used by the developer who implements unit tests in Java.,http://junit.org,http://junit.org,,,,,,,,
0BE89033A7B9B1478FCE2A93A7D411CD,junit,junit,4,TRUE,-,-,-,-,-,http://junit.org,http://junit.org,,,,,,,,
CC5BE606F6C18343AB59647734905C91,junit,junit,4.1,TRUE,Common Public License Version 1.0,http://www.opensource.org/licenses/cpl1.0.txt,JUnit,-,JUnit is a regression testing framework written by Erich Gamma and Kent Beck. It is used by the developer who implements unit tests in Java.,http://junit.org,http://junit.org,,,,,,,,
A47AB20B6FC8A34CB7F6AA942E80D5B1,junit,junit,4.10,TRUE,Common Public License Version 1.0,http://www.opensource.org/licenses/cpl1.0.txt,JUnit,David Saff,JUnit is a regression testing framework written by Erich Gamma and Kent Beck.        It is used by the developer who implements unit tests in Java.,http://junit.org,http://junit.org,,,,,,,,
962862287C4C95419D3580AEE54292C1,org.hamcrest,hamcrest-core,1.1,TRUE,-,-,Hamcrest Core,-,-,-,-,,,,,,,,
68FE005D2A74454E8B49B4E30F001B25,org.hamcrest,hamcrest-parent,1.1,TRUE,BSD style,http://www.opensource.org/licenses/bsd-license.php,Hamcrest Parent,-,-,-,-,,,,,,,,
B736C784D7A2114184B9DE1C3A161EC8,jmock,jmock,1.1.0,TRUE,BSD,http://www.jmock.org/license.html,jMock,-,jMock is a library for testing Java code using mock objects,http://www.jmock.org/,http://www.jmock.org/,,,,,,,,
