fg,fa,fv,scope,optional,tg,ta,tv
junit,junit,4.1,compile,false,org.hamcrest,hamcrest-core,1.1
org.hamcrest,hamcrest-parent,1.1,compile,false,jmock,jmock,1.1.0
jmock,jmock,1.1.0,compile,false,junit,junit,3.8.1
org.hamcrest,hamcrest-parent,1.1,compile,false,junit,junit,4
org.hamcrest,hamcrest-parent,1.1,compile,false,org.easymock,easymock,2.2
junit,junit,4.11,compile,false,org.hamcrest,hamcrest-core,1.3
junit,junit,4.11-beta-1,compile,false,org.hamcrest,hamcrest-core,1.3
junit,junit,4.12,compile,false,org.hamcrest,hamcrest-core,1.3
junit,junit,4.12-beta-1,compile,false,org.hamcrest,hamcrest-core,1.3
junit,junit,4.12-beta-2,compile,false,org.hamcrest,hamcrest-core,1.3
junit,junit,4.12-beta-3,compile,false,org.hamcrest,hamcrest-core,1.3
junit,junit,4.13,compile,false,org.hamcrest,hamcrest-core,1.3
junit,junit,4.13,compile,false,org.hamcrest,hamcrest-library,1.3
org.hamcrest,hamcrest-library,1.3,compile,false,org.hamcrest,hamcrest-core,1.3
junit,junit,4.13-beta-1,compile,false,org.hamcrest,hamcrest-core,1.3
junit,junit,4.13-beta-1,compile,false,org.hamcrest,hamcrest-library,1.3
junit,junit,4.13-beta-2,compile,false,org.hamcrest,hamcrest-core,1.3
junit,junit,4.13-beta-2,compile,false,org.hamcrest,hamcrest-library,1.3
junit,junit,4.13-beta-3,compile,false,org.hamcrest,hamcrest-core,1.3
junit,junit,4.13-beta-3,compile,false,org.hamcrest,hamcrest-library,1.3
junit,junit,4.13-rc-1,compile,false,org.hamcrest,hamcrest-core,1.3
junit,junit,4.13-rc-1,compile,false,org.hamcrest,hamcrest-library,1.3
junit,junit,4.13-rc-2,compile,false,org.hamcrest,hamcrest-core,1.3
junit,junit,4.13-rc-2,compile,false,org.hamcrest,hamcrest-library,1.3
junit,junit,4.13.1,compile,false,org.hamcrest,hamcrest-core,1.3
junit,junit,4.13.1,compile,false,org.hamcrest,hamcrest-library,1.3
junit,junit,4.13.2,compile,false,org.hamcrest,hamcrest-core,1.3
junit,junit,4.13.2,compile,false,org.hamcrest,hamcrest-library,1.3
junit,junit,4.9,compile,false,org.hamcrest,hamcrest-core,1.1
org.slf4j,slf4j-parent,1.1.0,compile,false,junit,junit,3.8.1
org.slf4j,slf4j-parent,1.1.0-RC1,compile,false,junit,junit,3.8.1
org.slf4j,slf4j-parent,1.1.0-beta0,compile,false,junit,junit,3.8.1
org.slf4j,slf4j-parent,1.2,compile,false,junit,junit,3.8.1
org.slf4j,slf4j-parent,1.3.0,compile,false,junit,junit,3.8.1
org.slf4j,slf4j-parent,1.3.1,compile,false,junit,junit,3.8.1
org.slf4j,slf4j-parent,1.4.0,compile,false,junit,junit,3.8.1
